Material,Alias,readable
poly[di(n-propyl)itaconate],poly[di(n-propyl)itaconate],Poly[di(n-propyl) itaconate]
poly[dimethylitaconate],poly[dimethylitaconate],Poly[dimethyl itaconate]
poly[oxy(hexyloxymethyl)ethylene],poly[oxy(hexyloxymethyl)ethylene],Poly[oxy(hexyloxymethyl)ethylene]
polyacetal-polyoxymethylene,polyacetal-polyoxymethylene,Polyacetal - Polyoxymethylene
polyacrylamides,polyacrylamides,Polyacrylamides
polyacrylates(propenoates),polyacrylates(propenoates),Polyacrylates (Propenoates)
polyacrylonitriles(nitriles),polyacrylonitriles(nitriles),Polyacrylonitriles (Nitriles)
polyamides(polylactams),polyamides(polylactams),Polyamides (POLYLACTAMS)
polyanhydrides,polyanhydrides,Polyanhydrides
polycarbonates,polycarbonates,Polycarbonates
polycyanoacrylates,polycyanoacrylates,Polycyanoacrylates
"polydienes(butadienes,isoprenes)","polydienes(butadienes,isoprenes)","Polydienes (Butadienes, Isoprenes)"
"polydiglycidylethers(polyepoxides,polyhydroxyethers,phenoxy)","polydiglycidylethers(polyepoxides,polyhydroxyethers,phenoxy)","PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)"
polyesters,polyesters,Polyesters
"polyethers(polyglycols,oxyalkylenes,glycidylethers&cyclicethers)","polyethers(polyglycols,oxyalkylenes,glycidylethers&cyclicethers)","Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)"
polyethersulfones(polysulfone),polyethersulfones(polysulfone),Polyethersulfones (POLYSULFONE)
polyfumarates(polybutenedioates),polyfumarates(polybutenedioates),Polyfumarates (POLYBUTENEDIOATES)
polyglycolide,polyglycolide,Polyglycolide
polyhalodienes,polyhalodienes,Polyhalodienes
polyhaloolefins(vinylhalides),polyhaloolefins(vinylhalides),Polyhaloolefins (Vinylhalides)
polyhalostyrenes,polyhalostyrenes,Polyhalostyrenes
polyhydroxy(meth)acrylates,polyhydroxy(meth)acrylates,Polyhydroxy(meth)acrylates
polyhydroxyalkanoate(pha),polyhydroxyalkanoate(pha),polyhydroxyalkanoate (PHA)
polyisophthalates,polyisophthalates,Polyisophthalates
polyitaconates(polymethylenesuccinates),polyitaconates(polymethylenesuccinates),POLYITACONATES (POLYMETHYLENE SUCCINATES)
polylacticacid,polylacticacid,Polylactic acid
polymethacrylamides,polymethacrylamides,Polymethacrylamides
polymethacrylates,polymethacrylates,Polymethacrylates
polyolefins,polyolefins,Polyolefins
polyolefins(polyalkenes),polyolefins(polyalkenes),Polyolefins (POLYALKENES) 
polyphenylenes(polyaromatics),polyphenylenes(polyaromatics),Polyphenylenes (POLYAROMATICS)
polyphenylethers(polyphenyleneoxide),polyphenylethers(polyphenyleneoxide),Polyphenylethers (POLYPHENYLENEOXIDE)
polysebacates,polysebacates,Polysebacates
polysiloxanes,polysiloxanes,Polysiloxanes
"polystyrenes(polyphenylethylenes,_-methylstyrene)","polystyrenes(polyphenylethylenes,_-methylstyrene)","POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)"
polystyrenes(polyphenylethylenes),polystyrenes(polyphenylethylenes),Polystyrenes (POLYPHENYLETHYLENES)
polysuccinates,polysuccinates,Polysuccinates
polyterephthalates,polyterephthalates,Polyterephthalates
polythioethers(sulfides),polythioethers(sulfides),Polythioethers (Sulfides)
polyurethanes(isocyanates),polyurethanes(isocyanates),Polyurethanes (isocyanates)
polyvinylalcohols,polyvinylalcohols,Polyvinylalcohols
polyvinylesters,polyvinylesters,Polyvinylesters
polyvinylethers,polyvinylethers,Polyvinylethers
polyvinylketones,polyvinylketones,Polyvinylketones
polyvinylsulfides,polyvinylsulfides,Polyvinylsulfides
pp,polypropylene,PP
pp,poly(propylene),PP
pps,polyphenylenesulfide,PPS
pps,polyphenylenesulfide(pps),PPS
ptfe,polytetrafluoroethylene,PTFE
ptfe,polytetrafluorethylene,PTFE
ptfe,poly(tetrafluoroethylene),PTFE
ptt,polytrimethyleneterephthalate,PTT
pu,polyurethane,PU
pu,urethane,PU
pva,polyvinylalcohol,PVA
pva,poly(vinylalcohol),PVA
pvc,polyvinylchloride,PVC
pvc,poly(vinylchloride),PVC
pvc,vinyl(pvc),PVC
pvdc,poly(vinylidenechloride),PVDC
pvdf,poly(vinylidenefluoride),PVDF
pvdf,polyvinylidenefluoride,PVDF
rayon,rayon,Rayon
san,styreneacrylonitrileresin,SAN
san,styrene-acytonitrile(san),SAN
san,styreneacrylonitrile(san),SAN
sbr,styrene-butadienerubber,SBR
sbr,butadiene/butylrubber,SBR
sbr,styrene-butadiene,SBR
ca,semi-syntheticcellulose,CA
silicone,silicone,silicone
styrene-isoprene,styrene-isoprene,Styrene-isoprene
styrene-maleic,styrene-maleic,Styrene-maleic
urea-formaldehyde,urea-formaldehyde,Urea-formaldehyde
vinyl,vinyl,vinyl
vinyl,vinyon,vinyl
wool,wool,wool
co-polymers,co-polymers,Co-Polymers
co-polymers,copolymers,Co-polymers
co-polymers,copolymer,Co-polymers
co-polymers,co-polymer,Co-polymers
tpe,thermoplasticelastomers,TPE
tpe,thermo-plasticelastomers,TPE
rubberorthermosetelastomer,rubberorthermosetelastomer,rubber OR thermoset elastomer
thermosetelastomer,thermosetelastomer,thermoset elastomer
acetal,acetal,acetal
lldpe,linearlowdensitypolyethylene,LLDPE
lldpe,linearlow-densitypolyethylene,LLDPE
tpu,thermoplasticpolyurethane,TPU
ppe,polyphenyleneether,PPE
ppe,polyphenyleneetherppo,PPE
polyethylene-ether,polyethyleneether,polyethylene-ether
polyethylene-ether,polyethylene-ether,polyethylene-ether
phenolicresin,phenolic,phenolic resin
phenolicresin,phenolicresin,phenolic resin
thermosetpolyester,thermosetpolyester,thermoset polyester
pei,polyetherimide,PEI
acryliccyanoacrylateadhesive,acryliccyanoacrylateadhesive,acrylic cyanoacrylate adhesive
ppa,polyphthalamide(ppa),PPA
ppa,polyphthalamide,PPA
thermosetfluoropolymer,thermosetfluoropolymer,thermoset fluoropolymer
asa,acrylonitrile-styrene-acrylate,ASA
asa,acrylonitrilestyreneacrylate,ASA
styrene-butadienethermoplastics,styrene-butadienethermoplastics,styrene-butadiene thermoplastics
styrene-butadienethermoplastics,styrenebutadienethermoplastics,styrene-butadiene thermoplastics
lcp,liquidcrystalpolymer,LCP
lcp,liquid-crystalpolymer,LCP
cellulosic,cellulosic,cellulosic
psu,polysulfone,PSU
pithermoplastic,"polyimide,thermoplastic",PI thermoplastic
pithermoplastic,pithermoplastic,PI thermoplastic
thermosetpolyimide,thermosetpolyimide,thermoset polyimide
etfe-ectfe,ethylenetetrafluoroethlene/ethylenechlorotrifluoroethylene,ETFE-ECTFE
etfe-ectfe,ethylenetetrafluoroethlene-ethylenechlorotrifluoroethylene,ETFE-ECTFE
aromaticpolyamide,aromaticpolyamide,aromatic polyamide
aromaticpolyamide,aramid,aromatic polyamide
ionomer,ionomer,ionomer
ema,ethylenemethylacrylate,EMA
pfa,perfluoroalkoxyalkane,PFA
siloxane,siloxane,siloxane
oxidizedpe,polyethylene-oxidized,oxidized PE
oxidizedpe,oxidizedpolyethylene,oxidized PE
chlorinatedpe,polyethylene-chlorinated,chlorinated PE
chlorinatedpe,chlorinatedpolyethylene,chlorinated PE
modifiedcellulosechemical,cellulosechemicalmodified,modified cellulose chemical
modifiedcellulosechemical,modifiedcellulosechemical,modified cellulose chemical
nitrilerubber,nitrilerubber,nitrile rubber
acrylates/polyurethanes/varnish,acrylates/polyurethanes/varnish,acrylates/polyurethanes/varnish
emaa,ethylenemethacrylicacid,EMAA
acrylonitrile-butadiene,acrylonitrile-butadiene,acrylonitrile-butadiene
rubbertype1,rubbertype1,rubber type 1
rubbertype2,rubbertype2,rubber type 2
rubbertype3,rubbertype3,rubber type 3
chlorinatedpi,polyisoprene-chlorinated,chlorinated PI
pcl,polycaprolactone,PCL
pom,polyoxymethylene,POM
thermoplastics,thermoplastics,Thermoplastics
pesu,polyethersulfone,PESU
